left enc delta, left pid out, right enc delta, right enc out
0,57.448,0,57.448
0,172.344,0,172.344
2,255,2,255
9,255,11,239.792
19,202.239,18,242.31
23,199.479,23,224.271
22,255,25,231.511
24,255,25,255
28,202.239,26,255
28,209.479,29,207.239
27,241.719,30,179.479
27,255,29,191.719
29,222.239,28,213.959
29,219.479,26,255
28,241.719,29,207.239
28,248.959,29,204.479
30,206.199,28,226.719
29,218.439,27,255
29,215.679,28,247.239
27,255,30,204.479
28,247.239,30,191.719
30,204.479,28,228.959
30,191.719,28,236.199
29,203.959,27,255
27,251.199,29,222.239
29,218.439,29,219.479
29,215.679,28,241.719
28,237.919,29,223.959
28,245.159,28,246.199
29,227.399,28,253.439
29,224.639,29,235.679
27,255,30,207.919
29,222.239,29,220.159
29,219.479,28,242.399
29,216.719,27,255
27,255,29,222.239
29,222.239,30,194.479
29,219.479,27,255
28,241.719,29,222.239
28,248.959,29,219.479
30,206.199,28,241.719
29,218.439,28,248.959
29,215.679,29,231.199
28,237.919,30,203.439
27,255,28,240.679
30,197.239,28,247.919
29,209.479,29,230.159
29,206.719,29,227.399
28,228.959,28,249.639
27,255,29,231.879
29,222.239,30,204.119
29,219.479,28,241.359
28,241.719,28,248.599
28,248.959,30,205.839
29,231.199,29,218.79
30,203.439,29,215.319
28,240.679,27,255
29,222.919,29,222.239
28,245.159,30,194.479
29,227.399,28,231.719
29,224.639,28,238.959
28,246.879,29,221.199
29,229.119,28,243.439
29,226.359,28,250.679
28,248.599,29,232.919
29,230.839,30,205.159
30,203.79,29,217.399
28,240.319,28,239.639
29,222.559,29,221.879
29,219.799,28,244.119
27,255,28,251.359
29,222.239,29,233.599
29,219.479,30,205.839
29,216.719,30,193.79
28,238.959,28,230.319
28,246.199,28,237.559
29,228.439,27,255
29,225.679,29,222.239
28,247.919,29,219.479
29,230.159,28,241.719
30,202.399,28,248.959
29,214.639,29,231.199
28,236.879,30,203.439
28,244.119,28,240.679
29,226.359,28,247.919
29,223.599,29,230.159
28,245.839,30,202.399
28,253.79,28,239.639
31,185.319,27,255
30,187.559,29,222.239
30,174.799,30,194.479
28,212.39,29,206.719
28,219.279,28,228.959
27,251.519,27,255
28,243.759,29,222.239
30,200.999,29,219.479
29,213.239,28,241.719
29,210.479,28,248.959
28,232.719,29,231.199
27,255,29,228.439
29,222.239,29,225.679
30,194.479,28,247.919
28,231.719,28,255
28,238.959,30,212.239
28,246.199,30,199.479
29,228.439,29,211.719
29,225.679,29,208.959
29,222.919,27,255
27,255,29,222.239
29,222.239,29,219.479
29,219.479,28,241.719
29,216.719,28,248.959
27,255,29,231.199
28,247.239,29,228.439
30,204.479,28,250.679
30,191.719,29,232.919
29,203.959,29,230.159
28,226.199,28,252.399
27,255,29,234.639
28,247.239,29,231.879
30,204.479,29,229.119
30,191.719,28,251.359
28,228.959,28,255
28,236.199,30,212.239
28,243.439,31,174.479
28,250.679,28,226.719
30,207.919,28,233.959
30,195.159,27,255
29,207.399,29,222.239
27,254.639,29,219.479
29,221.879,28,241.719
30,194.119,27,255
28,231.359,29,222.239
28,238.599,29,219.479
28,245.839,28,241.719
28,253.79,28,248.959
30,210.319,29,231.199
31,172.559,28,253.439
29,199.799,30,210.679
28,222.39,30,197.919
27,254.279,29,210.159
28,246.519,28,232.399
30,203.759,27,255
30,190.999,29,222.239
29,203.239,29,219.479
28,225.479,29,216.719
27,255,28,238.959
28,247.239,28,246.199
30,204.479,28,253.439
30,134.271,30,153.231
28,56.615,30,25.575
26,0,29,0
24,0,26,0
