left enc cnt, left enc delta, left pid setpt, left pid out, right enc cnt, right enc delta, right pid setpt, right pid out
0, 0, 3.627, 36.280, 0, 0, 3.627, 36.280
0, 0, 7.255, 108.840, 0, 0, 7.255, 108.840
1, 1, 10.883, 192.680, 1, 1, 10.883, 192.680
5, 4, 14.511, 252.799, 6, 5, 14.511, 227.799
18, 13, 18.140, 169.199, 16, 10, 18.140, 234.199
36, 18, 18.140, 95.599, 34, 17, 18.140, 140.599
54, 18, 18.140, 96.999, 53, 20, 18.140, 76.999
70, 16, 18.140, 148.399, 72, 19, 18.140, 83.399
87, 17, 18.140, 144.799, 89, 17, 18.140, 124.799
103, 16, 18.140, 181.199, 106, 17, 18.140, 136.199
121, 18, 18.140, 152.599, 122, 16, 18.140, 172.599
139, 18, 18.140, 153.999, 139, 17, 18.140, 168.999
157, 18, 18.140, 155.399, 157, 18, 18.140, 155.399
175, 18, 18.140, 156.799, 175, 18, 18.140, 156.799
193, 18, 18.140, 158.199, 193, 18, 18.140, 158.199
211, 18, 18.140, 159.599, 211, 18, 18.140, 159.599
230, 19, 18.140, 135.999, 230, 18, 18.140, 160.999
248, 18, 18.140, 152.399, 248, 19, 18.140, 137.399
267, 19, 18.140, 128.799, 267, 18, 18.140, 153.799
285, 18, 18.140, 145.199, 285, 19, 18.140, 130.199
303, 18, 18.140, 146.599, 303, 18, 18.140, 146.599
321, 18, 18.140, 147.999, 321, 18, 18.140, 147.999
339, 18, 18.140, 149.399, 339, 18, 18.140, 149.399
357, 18, 18.140, 150.799, 357, 18, 18.140, 150.799
375, 18, 18.140, 152.199, 376, 19, 18.140, 127.199
393, 18, 18.140, 153.599, 394, 18, 18.140, 143.599
412, 19, 18.140, 129.999, 412, 17, 18.140, 169.999
430, 18, 18.140, 146.399, 430, 19, 18.140, 131.399
448, 18, 18.140, 147.799, 448, 18, 18.140, 147.799
466, 18, 18.140, 149.199, 466, 18, 18.140, 149.199
484, 18, 18.140, 150.599, 484, 18, 18.140, 150.599
